,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,VIRTUAL,TOTFRL,TOTAL,WH,FTE,LATCOD,LONCOD,ULOCALE,STUTERATIO,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL
30237,Hammond High,8800 Guilford Rd,Columbia,MD,21046,Supplemental Virtual,367.0,1316.0,319.0,94.1999969482422,39.1677,-76.8605,13-City: Small,13.97,Regular school,Currently operational ,High
30240,Howard High,8700 Old Annapolis Rd,Ellicott City,MD,21043,Supplemental Virtual,228.0,1828.0,824.0,114.699996948242,39.2265,-76.8128,13-City: Small,15.94,Regular school,Currently operational ,High
30244,Mount Hebron High,9440 Old Frederick Road,Ellicott City,MD,21042,Supplemental Virtual,183.0,1635.0,660.0,104.699996948242,39.2993,-76.8402,21-Suburb: Large,15.62,Regular school,Currently operational ,High
30246,Oakland Mills High,9410 Kilimanjaro Rd,Columbia,MD,21045,Supplemental Virtual,416.0,1269.0,245.0,96.5999984741211,39.2087,-76.8391,13-City: Small,13.14,Regular school,Currently operational ,High
30259,Wilde Lake High,5460 Trumpeter Rd,Columbia,MD,21044,Supplemental Virtual,502.0,1379.0,328.0,100.5,39.2172,-76.8729,13-City: Small,13.72,Regular school,Currently operational ,High
30263,River Hill High,12101 Clarksville Pike,Clarksville,MD,21029,Supplemental Virtual,59.0,1470.0,643.0,84.0999984741211,39.2153,-76.9288,13-City: Small,17.48,Regular school,Currently operational ,High
30264,Long Reach High,6101 Old Dobbin Ln,Columbia,MD,21045,Supplemental Virtual,450.0,1595.0,372.0,119.099998474121,39.205868,-76.811307,13-City: Small,13.39,Regular school,Currently operational ,High
30273,Reservoir High,11550 Scaggsville Rd,Fulton,MD,20759,Supplemental Virtual,328.0,1788.0,421.0,114.5,39.1518,-76.9132,41-Rural: Fringe,15.62,Regular school,Currently operational ,High
30276,Marriotts Ridge High,12100 Woodford Dr,Marriottsville,MD,21104,Supplemental Virtual,77.0,1597.0,675.0,91.1999969482422,39.3219,-76.9344,41-Rural: Fringe,17.51,Regular school,Currently operational ,High
30295,Kent County High,25301 Lambs Meadow Rd,Worton,MD,21678,Supplemental Virtual,272.0,580.0,371.0,43.1599998474121,39.285329,-76.091684,42-Rural: Distant,13.44,Regular school,Currently operational ,High
